Open,Close,Low,High,Volume,TotalPrice,NumTransactions,Mean,Timestamp
61872.730000,61866.010000,61866.010000,61889.920000,1.873270,5383110.230000,87,61874.830230,1719344038468
61895.460000,61895.990000,61891.260000,61907.980000,0.970220,1795133.810000,29,61901.165862,1719344106528
61917.990000,61917.670000,61891.650000,61926.970000,2.430630,4457575.930000,72,61910.776806,1719344170670
61919.990000,61937.220000,61904.020000,61937.220000,4.658600,6006203.530000,97,61919.624021,1719344231758
61954.110000,61888.400000,61888.400000,61954.110000,1.476810,2353192.720000,38,61926.124211,1719344292856
61869.040000,61889.980000,61857.400000,61889.990000,0.580870,4825643.840000,78,61867.228718,1719344365892
61883.380000,61980.000000,61883.370000,61980.000000,1.754350,3281071.000000,53,61907.000000,1719344429973
61990.000000,62000.220000,61971.560000,62039.990000,2.039620,5084647.000000,82,62007.890244,1719344492127
61991.080000,61907.860000,61904.430000,61991.530000,4.678250,6071890.160000,98,61958.062857,1719344560274
61908.130000,61883.380000,61883.380000,61914.000000,0.101280,1980820.140000,32,61900.629375,1719344622438
61883.370000,61876.000000,61851.650000,61883.380000,1.787210,8660626.180000,140,61861.615571,1719344682620
61883.380000,61868.970000,61868.970000,61889.370000,0.530570,1361325.140000,22,61878.415455,1719344743762
61864.010000,61856.570000,61806.120000,61864.010000,1.641220,5812729.990000,94,61837.553085,1719344810947
61856.560000,61847.990000,61812.000000,61856.560000,1.866580,3523991.350000,57,61824.409649,1719344870948
61835.400000,61904.500000,61830.020000,61904.500000,4.889820,4949157.190000,80,61864.464875,1719344938223
61904.510000,61910.010000,61904.510000,61934.040000,1.621990,2971881.150000,48,61914.190625,1719345000378
61904.900000,61916.990000,61880.010000,61916.990000,1.387100,2661649.080000,43,61898.815814,1719345062384
61912.000000,61936.430000,61912.000000,61936.440000,2.241460,4953833.460000,80,61922.918250,1719345122588
61936.430000,61924.160000,61924.160000,61936.440000,0.126780,1176655.710000,19,61929.247895,1719345182754
61912.000000,61921.110000,61898.210000,61925.600000,0.355480,1609645.930000,26,61909.458846,1719345244891
61926.800000,62026.720000,61926.800000,62037.990000,3.444590,5766982.790000,93,62010.567634,1719345305830
62039.990000,62062.010000,62039.990000,62078.790000,2.443680,4096216.950000,66,62063.893182,1719345367698
62090.000000,62090.000000,62064.000000,62119.990000,2.654300,7699393.840000,124,62091.885806,1719345428448
62093.990000,62111.020000,62084.180000,62119.070000,2.409300,4036953.850000,65,62106.982308,1719345490432
62110.170000,62113.900000,62108.000000,62150.700000,2.004560,5280434.830000,85,62122.762706,1719345550875
62063.760000,61985.270000,61970.770000,62140.450000,4.210170,6696852.700000,108,62007.895370,1719345612829
61980.530000,62079.470000,61964.330000,62079.470000,6.097030,10913787.560000,176,62010.156591,1719345674213
62079.460000,62006.850000,61990.000000,62079.470000,5.809880,9985244.740000,161,62020.153665,1719345748108
62007.990000,62059.990000,62007.990000,62060.000000,0.924130,3101857.790000,50,62037.155800,1719345813157
62073.180000,62030.010000,62030.010000,62073.180000,0.073270,620621.020000,10,62062.102000,1719345879236
62020.540000,62001.130000,62001.130000,62039.990000,2.095850,3348771.940000,54,62014.295185,1719345950957
62000.020000,61981.990000,61981.400000,62026.000000,1.353900,5765987.400000,93,61999.864516,1719346019410
61982.000000,62009.990000,61982.000000,62010.000000,3.346370,9051853.270000,146,61998.995000,1719346085496
62000.510000,61966.010000,61966.010000,62016.600000,0.655410,2231946.320000,36,61998.508889,1719346155549
61966.000000,61952.010000,61946.010000,61966.000000,2.438900,6133905.520000,99,61958.641616,1719346220959
61952.010000,61948.750000,61944.040000,61952.010000,0.757650,2539902.870000,41,61948.850488,1719346280960
61948.740000,61915.900000,61891.140000,61948.740000,3.589650,9038210.560000,146,61905.551781,1719346340960
61912.660000,61953.190000,61912.650000,61953.190000,0.782620,1857833.310000,30,61927.777000,1719346410751
