Open,Close,Low,High,Volume,TotalPrice,NumTransactions,Mean,Timestamp
450.395000,450.350000,450.310000,450.450000,1816.000000,33328.554200,74,450.385868,1719344038468
450.360000,450.330000,450.330000,450.410000,2463.000000,43684.888900,97,450.359679,1719344106528
450.350000,450.252700,450.220000,450.420000,3461.000000,36473.686700,81,450.292428,1719344170670
450.263400,450.340000,450.210100,450.340000,513.000000,9005.260400,20,450.263020,1719344231758
450.400000,450.415000,450.321900,450.428800,1568.000000,14862.147600,33,450.368109,1719344292856
450.470000,450.370000,450.360000,450.540000,1948.000000,30632.435000,68,450.476985,1719344365892
450.360700,450.360000,450.260000,450.440000,2339.000000,31523.935300,70,450.341933,1719344429973
450.365000,450.408500,450.350000,450.560000,1806.000000,26128.246300,58,450.487005,1719344492127
450.436400,450.399900,450.352000,450.436400,889.000000,13061.267700,29,450.388541,1719344560274
450.350000,450.329000,450.160000,450.410000,1286.000000,22064.760500,49,450.301235,1719344622438
450.240000,450.240000,450.240000,450.320000,2178.000000,21613.321600,48,450.277533,1719344682620
450.231900,450.210000,450.190000,450.290000,330.000000,11256.275200,25,450.251008,1719344743762
450.230000,450.240000,450.130000,450.288800,3316.000000,48169.260200,107,450.180002,1719344810947
450.210100,450.310000,450.210100,450.430000,2302.000000,45479.615000,101,450.293218,1719344870948
450.330000,450.331200,450.281600,450.405400,1838.000000,20716.223100,46,450.352676,1719344938223
450.280000,450.160000,450.118000,450.299000,1751.000000,15757.052200,35,450.201491,1719345000377
450.050000,450.230000,450.020000,450.380000,3688.000000,51779.058000,115,450.252678,1719345062384
450.240000,450.160000,450.140000,450.320000,2722.000000,41421.729600,92,450.236191,1719345122588
450.240000,450.370000,450.240000,450.422000,3277.000000,44583.174500,99,450.335096,1719345182754
450.385000,450.350000,450.290900,450.490000,4606.000000,59453.819700,132,450.407725,1719345244891
450.350000,450.940000,450.250000,451.180000,8512.000000,111774.442700,248,450.703398,1719345305830
451.080000,450.980000,450.851900,451.418000,11096.000000,105559.571300,234,451.109279,1719345367698
450.960000,450.919900,450.800000,451.085500,10255.000000,82521.323000,183,450.936191,1719345428448
450.940000,450.930000,450.910000,451.066700,7899.000000,91995.692300,204,450.959276,1719345490432
450.890000,450.850000,450.770000,450.970000,16217.000000,132106.135000,293,450.874181,1719345550874
450.890000,451.140000,450.825000,451.190000,9988.000000,77106.358800,171,450.914379,1719345612829
451.130000,451.200000,450.820000,451.230000,79216.000000,115917.382400,257,451.040398,1719345674213
451.170000,451.110000,450.950000,451.230000,49004.000000,38795.704900,86,451.112848,1719345748108
451.030000,450.950000,450.950000,451.040000,10725.000000,17587.580000,39,450.963590,1719345813157
451.070000,451.090000,451.070000,451.110000,632.000000,7217.380000,16,451.086250,1719345879236
451.090000,450.970000,450.970000,451.090000,233.000000,4510.660000,10,451.066000,1719345950957
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719346019410
450.990000,451.020000,450.950000,451.020000,239.000000,2705.955000,6,450.992500,1719346085496
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719346155549
450.880000,450.880000,450.880000,450.880000,1.000000,450.880000,1,450.880000,1719346220959
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719346280960
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719346340960
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719346410751
450.985000,451.000000,450.985000,451.070000,65.000000,4059.050000,9,451.005556,1719346472814
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719346543874
450.970000,451.070000,450.970000,451.070000,1848.000000,6313.950000,14,450.996429,1719346619949
451.060000,451.050000,451.050000,451.070000,1610.000000,8570.069900,19,451.056311,1719346687994
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719346754036
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719346819076
451.052700,451.060000,451.052700,451.060000,13.000000,1353.172700,3,451.057567,1719346880967
451.070000,451.070000,451.070000,451.070000,1.000000,451.070000,1,451.070000,1719346948172
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719347036234
451.070000,451.060000,451.060000,451.070000,87.000000,1804.270000,4,451.067500,1719347106297
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719347186355
451.060000,451.050000,451.050000,451.060000,84.000000,1804.210600,4,451.052650,1719347250392
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719347310700
451.060000,451.050000,451.050000,451.060000,3.000000,1353.170000,3,451.056667,1719347398521
450.950000,451.000000,450.930000,451.000000,14.000000,2705.840000,6,450.973333,1719347467564
451.070000,450.985000,450.985000,451.070000,3.000000,902.055000,2,451.027500,1719347531693
450.950000,450.900000,450.900000,450.950000,2.000000,901.850000,2,450.925000,1719347600974
450.950000,451.000000,450.950000,451.000000,53.000000,1803.900000,4,450.975000,1719347684793
450.940000,450.865000,450.865000,450.950000,807.000000,4058.170000,9,450.907778,1719347752847
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719347818921
450.940000,450.865000,450.865000,450.940000,12.000000,1352.670000,3,450.890000,1719347894959
451.020000,451.005000,451.005000,451.020000,2.000000,902.025000,2,451.012500,1719347975006
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719348037087
451.070000,451.070000,451.035000,451.070000,140.000000,4510.665000,10,451.066500,1719348140977
451.070000,451.100000,451.014000,451.100000,666.000000,4510.594500,10,451.059450,1719348206221
451.140000,451.150000,451.140000,451.150000,366.000000,1804.590000,4,451.147500,1719348305296
451.180000,451.105000,451.105000,451.180000,26.000000,902.285000,2,451.142500,1719348389396
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719348470452
451.100000,451.020000,451.020000,451.200000,49.000000,2706.620000,6,451.103333,1719348532501
451.000000,451.100000,451.000000,451.180000,54.000000,2706.730000,6,451.121667,1719348601566
451.200000,451.100000,451.100000,451.200000,2.000000,902.300000,2,451.150000,1719348661623
451.195000,451.195000,451.195000,451.195000,1.000000,451.195000,1,451.195000,1719348727666
451.010000,451.100000,451.010000,451.100000,97.000000,1353.120000,3,451.040000,1719348798704
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719348860727
451.100000,451.100000,451.000000,451.100000,133.000000,3608.580000,8,451.072500,1719348920982
451.100000,451.100000,451.100000,451.200000,8.000000,1804.500000,4,451.125000,1719349019879
451.000000,451.200000,451.000000,451.200000,3.000000,1353.300000,3,451.100000,1719349090924
451.100000,450.940000,450.920000,451.100000,681.000000,11726.590000,26,451.022692,1719349160983
450.745000,450.860000,450.540000,450.980000,45.000000,6761.660000,15,450.777333,1719349231016
450.730000,450.730000,450.730000,450.730000,1.000000,450.730000,1,450.730000,1719349300130
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719349370203
450.870000,450.830000,450.760000,450.900000,469.000000,4958.950000,11,450.813636,1719349460275
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719349528366
451.010000,451.010000,451.010000,451.010000,21.000000,451.010000,1,451.010000,1719349617445
451.060900,451.064500,451.060000,451.150000,13.000000,2255.396400,5,451.079280,1719349708508
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719349790991
451.120000,451.120000,451.060000,451.120000,3.000000,1353.300000,3,451.100000,1719349868628
451.140000,451.140000,451.140000,451.180000,3.000000,1353.460000,3,451.153333,1719349929700
451.110000,451.060000,451.060000,451.110000,500.000000,5412.840000,12,451.070000,1719350000993
451.090000,451.090000,451.090000,451.090000,10.000000,451.090000,1,451.090000,1719350060993
451.010000,451.095000,451.010000,451.150000,131.000000,2706.450000,6,451.075000,1719350150993
451.092200,451.170000,451.092200,451.170000,2.000000,902.262200,2,451.131100,1719350235952
451.090000,451.170000,451.090000,451.170000,56.000000,2255.640000,5,451.128000,1719350356042
451.090000,451.140000,451.090000,451.140000,3.000000,902.230000,2,451.115000,1719350429136
451.140000,451.140000,451.140000,451.140000,2.000000,902.280000,2,451.140000,1719350506197
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719350585274
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719350661000
451.100000,451.100000,451.100000,451.100000,1.000000,451.100000,1,451.100000,1719350721000
451.010000,450.970000,450.970000,451.010000,41.000000,901.980000,2,450.990000,1719350786467
451.170000,450.970000,450.750000,451.190000,28.000000,4510.700000,10,451.070000,1719350883563
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719350944624
450.970000,450.970000,450.970000,450.970000,1.000000,450.970000,1,450.970000,1719351006683
451.190000,451.190000,451.080000,451.190000,6.000000,1353.460000,3,451.153333,1719351081004
451.080000,451.080000,451.080000,451.080000,1.000000,451.080000,1,451.080000,1719351141004
451.180000,451.080000,451.080000,451.180000,3.000000,902.260000,2,451.130000,1719351209859
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719351286908
450.970000,451.135000,450.970000,451.135000,3.000000,1353.185000,3,451.061667,1719351349968
450.970000,450.970000,450.970000,450.970000,2.000000,901.940000,2,450.970000,1719351443048
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719351507100
450.950000,450.950000,450.950000,450.950000,4.000000,1352.850000,3,450.950000,1719351584173
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719351671263
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719351741346
451.180100,451.180100,451.180100,451.180100,1000.000000,451.180100,1,451.180100,1719351851453
451.030000,450.910000,450.910000,451.030000,10.000000,1803.975000,4,450.993750,1719351921010
451.005000,451.005000,451.005000,451.005000,3.000000,1353.015000,3,451.005000,1719351993644
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719352068720
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719352131012
451.045000,450.950000,450.950000,451.045000,2.000000,901.995000,2,450.997500,1719352191013
451.000000,451.005000,450.820000,451.190000,32.000000,2706.025000,6,451.004167,1719352251013
451.005000,451.030000,451.005000,451.030000,4.000000,1353.045000,3,451.015000,1719352341013
450.850000,451.031300,450.850000,451.190000,71.000000,4961.182800,11,451.016618,1719352414978
451.190000,450.950000,450.950000,451.190000,29.000000,1353.140000,3,451.046667,1719352482034
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719352542175
451.050000,451.000000,451.000000,451.050000,4.000000,1804.150000,4,451.037500,1719352608159
451.000000,451.000000,451.000000,451.000000,1.000000,451.000000,1,451.000000,1719352693232
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719352778329
451.000000,451.000000,451.000000,451.000000,1.000000,451.000000,1,451.000000,1719352863458
450.825000,450.750000,450.750000,450.825000,3.000000,1352.400000,3,450.800000,1719352923555
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719352993636
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719353061022
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719353156780
450.520000,450.710000,450.520000,450.710000,3.000000,901.230000,2,450.615000,1719353219871
450.540000,450.710000,450.540000,450.720000,5.000000,1802.510000,4,450.627500,1719353281952
450.900000,450.540000,450.540000,450.900000,7.000000,1802.700000,4,450.675000,1719353352024
450.540000,450.520000,450.520000,450.720000,27.000000,2703.720000,6,450.620000,1719353429123
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719353534227
450.760000,450.620000,450.620000,450.840000,18.000000,3155.070000,7,450.724286,1719353631325
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719353695368
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719353759446
450.610000,450.750000,450.610000,450.890000,15.000000,1803.090000,4,450.772500,1719353835534
450.750000,450.750000,450.750000,450.750000,1.000000,450.750000,1,450.750000,1719353895587
451.140000,451.140000,451.140000,451.140000,1.000000,451.140000,1,451.140000,1719353991031
450.875000,450.950000,450.875000,450.950000,3.000000,1352.735000,3,450.911667,1719354055703
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719354129811
450.875000,450.875000,450.875000,450.875000,1.000000,450.875000,1,450.875000,1719354201032
450.730000,450.640000,450.640000,450.910000,107.000000,2704.640000,6,450.773333,1719354261032
450.640000,450.890000,450.640000,450.890000,3.000000,1352.170000,3,450.723333,1719354351032
450.747700,450.890000,450.694500,450.890000,157.000000,2705.002200,6,450.833700,1719354428091
450.740000,450.640000,450.640000,450.750000,102.000000,3154.960000,7,450.708571,1719354506166
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719354574230
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719354668318
450.945000,451.140000,450.750000,451.140000,16.000000,3156.615000,7,450.945000,1719354729409
450.760000,450.750000,450.750000,450.760000,13.000000,901.510000,2,450.755000,1719354801038
450.890000,450.875000,450.750000,450.890000,50.000000,2254.140000,5,450.828000,1719354864505
450.810000,450.610000,450.610000,450.810000,81.000000,1352.040000,3,450.680000,1719354927558
450.865000,450.870000,450.610000,450.870000,85.000000,2704.695000,6,450.782500,1719355002622
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719355071040
450.870000,450.870000,450.870000,450.870000,1.000000,450.870000,1,450.870000,1719355164760
450.760000,450.875000,450.760000,450.875000,4.000000,901.635000,2,450.817500,1719355238857
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719355299914
450.550000,450.530000,450.510000,450.820000,337.000000,5406.930000,12,450.577500,1719355400007
450.520000,450.520000,450.520000,450.520000,1.000000,450.520000,1,450.520000,1719355494111
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719355557186
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719355625257
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719355701049
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719355761387
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719355832437
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719355895502
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719355971052
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719356061052
450.740000,450.740000,450.740000,450.740000,6.000000,450.740000,1,450.740000,1719356131687
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719356204783
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719356279845
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719356340906
450.815000,450.815000,450.815000,450.815000,5.000000,450.815000,1,450.815000,1719356416999
450.815000,450.510000,450.510000,450.850000,60.000000,6310.640000,14,450.760000,1719356477062
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719356541056
450.610000,451.120000,450.610000,451.120000,4.000000,1352.545000,3,450.848333,1719356614229
450.570000,450.805000,450.570000,450.815000,64.000000,1352.190000,3,450.730000,1719356691264
450.580000,450.580000,450.580000,450.580000,74.000000,450.580000,1,450.580000,1719356756345
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719356821416
450.550000,450.550000,450.550000,450.550000,6.000000,450.550000,1,450.550000,1719356894516
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,1719356961531
