Price,Total,Count,Timestamp
1.071647,11.788112,11,1719344938223
1.071611,16.074160,15,1719345879236
1.071520,16.072799,15,1719346880967
1.071376,16.070644,15,1719347975006
1.071327,16.069900,15,1719349090924
1.071356,16.070345,15,1719350235952
1.071409,16.071137,15,1719351349968
1.071401,16.071010,15,1719352482034
1.071420,16.071294,15,1719353631325
1.071457,16.071862,15,1719354729409
1.071437,16.071561,15,1719355832438
1.071300,16.069493,15,1719356894516
1.071089,16.066330,15,1719357942378
1.071040,16.065606,15,1719359260380
1.070988,16.064817,15,1719360388479
1.070816,16.062235,15,1719361523589
1.070947,16.064208,15,1719362625512
1.071040,16.065603,15,1719363755648
1.071335,16.070020,15,1719364862006
1.071458,16.071872,15,1719365901170
1.071359,16.070389,15,1719366968281
1.071646,16.074683,15,1719368091194
1.071638,16.074569,15,1719369167751
1.071346,16.070185,15,1719370394873
1.071006,16.065085,15,1719371515618
1.071068,16.066013,15,1719372545444
1.071131,16.066960,15,1719373706570
1.071066,16.065994,15,1719374815489
1.070982,16.064737,15,1719375891686
1.071047,16.065703,15,1719377008397
1.071057,16.065851,15,1719378081707
1.071063,16.065943,15,1719379205343
1.070755,16.061320,15,1719380320525
1.070462,16.056926,15,1719381411733
1.070372,16.055575,15,1719382557829
1.070227,16.053412,15,1719383649872
1.069879,16.048181,15,1719384775781
1.069511,16.042658,15,1719385860830
1.068857,16.032850,15,1719386955893
1.068759,16.031382,15,1719387992976
1.069282,16.039236,15,1719389071068
1.069471,16.042070,15,1719390108224
1.069743,16.046152,15,1719391249295
1.069325,16.039877,15,1719393608459
1.068999,16.034991,15,1719411695554
1.068597,16.028959,15,1719412613578
1.069101,16.036511,15,1719413526620
1.068273,16.024100,15,1719414447281
1.067828,16.017427,15,1719415365696
1.068221,16.023312,15,1719416283186
1.068391,16.025858,15,1719417236411
1.068323,16.024841,15,1719418170623
1.068490,16.027352,15,1719419115028
1.068572,16.028586,15,1719420052041
1.068391,16.025861,15,1719421006009
1.068410,16.026153,15,1719421928593
1.068723,16.030842,15,1719422870210
1.068885,16.033268,15,1719423815401
1.068582,16.028734,15,1719424745062
1.068355,16.025320,15,1719425682040
1.068106,16.021592,15,1719426628471
1.067946,16.019184,15,1719427585493
1.067996,16.019944,15,1719428530300
1.067773,16.016597,15,1719429466376
1.067627,16.014408,15,1719430425993
1.067692,16.015386,15,1719431354579
1.067968,16.019521,15,1719432298305
1.067979,16.019682,15,1719433282209
1.067858,16.017876,15,1719434312249
1.067852,16.017781,15,1719435352221
1.067888,16.018326,15,1719436469102
1.067907,16.018601,15,1719437551415
1.067958,16.019373,15,1719438778983
1.068048,16.020725,15,1719439821901
1.068069,16.021029,15,1719441049854
1.068024,16.020367,15,1719442133714
1.068014,16.020206,15,1719443270623
1.067982,16.019724,15,1719444362743
1.068028,16.020422,15,1719445485711
1.068038,16.020572,15,1719446568048
1.067964,16.019462,15,1719447592586
1.068043,16.020640,15,1719448637493
1.067875,16.018124,15,1719449654421
1.067905,16.018578,15,1719450698396
1.068273,16.024092,15,1719451866530
1.068521,16.027820,15,1719453028689
1.068843,16.032647,15,1719454093793
1.068976,16.034638,15,1719455167357
1.069050,16.035757,15,1719456265889
1.069041,16.035618,15,1719457338938
1.068932,16.033979,15,1719458462062
1.069077,16.036159,15,1719459607410
1.069129,16.036939,15,1719460713267
1.069137,16.037053,15,1719461883288
1.069265,16.038974,15,1719463027449
1.069292,16.039374,15,1719464300266
1.069357,16.040356,15,1719465427480
1.069328,16.039914,15,1719466529407
1.069449,16.041737,15,1719467660400
1.069516,16.042733,15,1719468718623
1.069470,16.042056,15,1719469745828
1.069533,16.042996,15,1719470772122
1.069274,16.039117,15,1719471889592
1.069414,16.041205,15,1719472991246
1.069479,16.042189,15,1719474011336
1.069315,16.039723,15,1719475138389
1.068851,16.032770,15,1719476203641
1.068477,16.027161,15,1719477301649
1.068757,16.031356,15,1719478447748
1.069407,16.041105,15,1719482705530
1.069440,16.041602,15,1719483763709
1.069613,16.044196,15,1719484756809
1.069988,16.049824,15,1719485822971
1.070267,16.054000,15,1719486901077
1.070038,16.050573,15,1719487940125
1.070074,16.051108,15,1719488976125
1.069708,16.045615,15,1719490091917
1.069826,16.047397,15,1719491058994
1.070675,16.060128,15,1719492066639
1.071743,16.076139,15,1719493112753
1.072141,16.082117,15,1719494088688
1.072051,16.080763,15,1719495056294
1.072390,16.085856,15,1719495975441
1.072259,16.083890,15,1719496902821
1.071928,16.078924,15,1719497819540
1.071337,16.070056,15,1719498742643
1.071419,16.071288,15,1719499658656
1.071195,16.067932,15,1719500592730
1.070927,16.063912,15,1719501530157
1.070402,16.056033,15,1719502453531
1.070738,16.061071,15,1719503381722
1.070790,16.061854,15,1719504325671
1.070736,16.061037,15,1719505242363
1.070674,16.060108,15,1719506178496
1.070503,16.057547,15,1719507134180
1.070713,16.060700,15,1719508069690
1.070617,16.059250,15,1719509010748
1.070588,16.058825,15,1719509980261
1.070641,16.059608,15,1719510927111
1.070410,16.056156,15,1719511868034
1.070394,16.055906,15,1719512824803
1.070536,16.058038,15,1719513789743
1.070623,16.059348,15,1719514758893
1.070540,16.058098,15,1719515708097
1.070565,16.058482,15,1719516649512
1.070394,16.055912,15,1719517599614
1.070277,16.054160,15,1719518520548
1.070344,16.055153,15,1719519581885
1.070422,16.056333,15,1719520667206
1.070431,16.056462,15,1719521769388
1.070425,16.056368,15,1719522909824
1.070430,16.056453,15,1719524246157
1.070505,16.057568,15,1719525399075
1.070508,16.057620,15,1719526548202
